title,issn,id,area,rank,library
Environmental Modeling & Assessment,1420-2026,6411,Management,D,866
"International Environmental Agreements : Politics , Law and Economics",1567-9764,9533,Management,D,866
International Journal of Energy Sector Management,1750-6220,10181,Management,D,866
Journal of Cleaner Production,0959-6526,835,Management,D,866
Sustainable Futures,2666-1888,392435,Management,D,853
Journal of Organizational Behavior,0894-3796,12453,Management,A,72
Organization Science,1047-7039,18338,Management,A,72
Organization Studies,0170-8406,7780,Management,A,72
Gender Work and Organization,1468-0432,4087,Management,B,72
Group & Organization Management,1059-6011,721,Management,B,72
Human Relations,0018-7267,6861,Management,B,72
Leadership Quarterly,1048-9843,3270,Management,B,72
Management and Organization Review,1740-8776,11409,Management,B,72
Management Learning,1350-5076,2070,Management,B,72
Organization,1350-5084,2036,Management,B,72
Organization & Environment,1086-0266,1599,Management,B,72
Organizational Research Methods,1094-4281,7024,Management,B,72
Research in Organizational Behavior,0191-3085,6992,Management,B,215
European Journal of Work and Organizational Psychology,1359-432X,17073,Management,C,215
Group Processes & Intergroup Relations,1368-4302,7010,Management,C,215
Human Factors,0018-7208,28,Management,C,215
Journal of Applied Behavioral Science,0021-8863,7464,Management,C,215
Journal of Organizational Behavior Management,0160-8061,16246,Management,C,215
Journal of Organizational Change Management,0953-4814,10159,Management,C,215
Journal of Professions and Organization,2051-8803,37896,Management,C,215
Management Communication Quarterly,0893-3189,1418,Management,C,215
Negotiation Journal,0748-4526,11411,Management,C,215
Organizational Dynamics,0090-2616,7694,Management,C,866
Culture and Organization,1475-9551,16396,Management,D,554
Leadership,1742-7150,3902,Management,D,215
Learning Organization,0969-6474,10163,Management,D,215
